Feature,Mean_IC,Abs_IC,IC_Std,Positive_IC_Pct,Observations,ICIR,Alpha_Score,Global_Weight,Rolling_IC,Rolling_ICIR,Rolling_Rank,Rolling_Weight,IC_Volatility,IC_FlipRate,Rolling_IC_Volatility,Rolling_ICIR_Volatility,Stability_Score,Stability_Multiplier,Stability_Weight,Stability_Rank,Cluster_ID,Cluster_Size,Representative,Dropped_By_Cluster,Cluster_Weight,Diversification_Multiplier,Regime,Regime_Mean_IC,Regime_Abs_IC,Regime_ICIR,Regime_Alpha_Score,Regime_Positive_IC_Pct,Regime_Observations,Regime_Weight,Historical_IC,Recent_IC,IC_Delta,Historical_ICIR,Recent_ICIR,ICIR_Delta,Recent_Positive_Pct,IC_Trend,Decay_Score,Decay_Multiplier,Decay_Weight,Feature_Rank,Use_Feature,Rolling_Component,Stability_Component,Regime_Component,Decay_Component,Diversification_Component,Rolling_Contribution,Stability_Contribution,Regime_Contribution,Decay_Contribution,Diversification_Contribution,Final_IC_Score,Adaptive_Weight,Adaptive_Score
Momentum_ATR,0.004225102966110873,0.20004987659046322,0.24889614807525867,0.5038066865276398,3021,0.01697536495365113,0.08617498459348735,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.004225102966110871,0.029132928475033737,0.024907825508922867,0.016978175211908173,0.16308191544928835,0.14610374023738018,0.55,2.0360327555017952e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Momentum_ATR_Z,0.00416935528061354,0.20008365070044073,0.24891850972734564,0.5038066865276398,3021,0.016749880386278174,0.08603424377578303,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.004169355280613539,0.029132928475033737,0.024963573194420198,0.016752653315743236,0.16308191544928835,0.1463292621335451,0.55,2.025301034088251e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_Lag10,0.002622570119247157,0.1852398732432829,0.23027222747622905,0.5129224652087475,3018,0.011388998736848914,0.08398909012235317,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.0026225701192471584,0.010867071524966264,0.008244501405719105,0.011390886051252028,0.05718964032714974,0.04579875427589771,0.5666666666666667,1.0056450262115756e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BB_Z50,0.002581087701629264,0.193854863601977,0.24043014407519653,0.5024826216484608,3021,0.010735291536849538,0.08205112990302514,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.002581087701629262,0.07908906882591094,0.07650798112428167,0.010737068755882017,0.4560745344939229,0.44533746573804084,0.5833333333333334,1.5074042955068696e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MACD,0.00068334807940098,0.19084239031924904,0.23620425136870224,0.505130751406819,3021,0.0028930388532307626,0.07756578850412005,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.0006833480794009808,0.08924763832658571,0.08856429024718472,0.0028935177935272317,0.6217171349667364,0.6188236171732092,0.7,1.2026956594185616e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MACD_Z,0.00068334807940098,0.19084239031924904,0.23620425136870224,0.505130751406819,3021,0.0028930388532307626,0.07756578850412005,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.0006833480794009808,0.08924763832658571,0.08856429024718472,0.0028935177935272317,0.6217171349667364,0.6188236171732092,0.7,1.2026956594185616e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_10,0.0004166433985952191,0.19667779535564592,0.24466991955393064,0.5087719298245614,3021,0.0017028795270458336,0.07737736623313798,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.0004166433985952184,0.042908232118758445,0.042491588720163224,0.0017031614374061904,0.2532252192598202,0.25152205782241405,0.6,2.2148314811828585e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_10_Z,0.0003946444689498148,0.19668045512415522,0.24466787000580326,0.5084409136047666,3021,0.0016129803530290834,0.07727166957556593,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.00039464446894981435,0.042908232118758445,0.04251358764980863,0.0016132473806522067,0.2532252192598202,0.251611971879168,0.6,2.2105782204429937e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Reversal_5,0.00032819767776134023,0.19424527275935474,0.2382160661947487,0.4998344918901026,3021,0.0013777310725771863,0.07583138517676123,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.0003281976777613393,-0.055728744939271255,-0.0560569426170326,0.0013779591548677599,-0.2960560780778615,-0.29743403723272926,0.38333333333333336,-9.681793205222509e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_5,-0.00032819767776134023,0.19424527275935474,0.2382160661947487,0.4998344918901026,3021,-0.0013777310725771863,0.07411896239026954,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0003281976777613393,0.055728744939271255,0.0560569426170326,-0.0013779591548677599,0.2960560780778615,0.29743403723272926,0.6166666666666667,9.681793205222509e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_5_Z,-0.00033787510603491117,0.1942355953310812,0.23820790954061785,0.4998344918901026,3021,-0.0014184042220432417,0.07409368892958113,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0003378751060349107,0.055728744939271255,0.056066620045306166,-0.0014186390377415768,0.2960560780778615,0.2974747171156031,0.6166666666666667,9.663131264775203e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RSI,-0.0008561627650215683,0.19259100678715066,0.23911587287589994,0.5031446540880503,3021,-0.003580535039952692,0.0732455550117271,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0008561627650215649,0.08856275303643726,0.08941891580145883,-0.0035811277946997196,0.5131029773770169,0.5166841051717167,0.6166666666666667,2.8914545494194328e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RSI_Z,-0.0008606655369941569,0.19258773670861798,0.23911445025510544,0.5031446540880503,3021,-0.0035993873748598054,0.0732338353959364,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0008606655369941538,0.08856275303643726,0.08942341857343142,-0.0035999832505959842,0.5131029773770169,0.5167029606276129,0.6166666666666667,2.8905848143476192e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Reversal_10,-0.0004166433985952191,0.19667779535564592,0.24466991955393064,0.4885799404170804,3021,-0.0017028795270458336,0.07222541430310829,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0004166433985952184,-0.042908232118758445,-0.042491588720163224,-0.0017031614374061904,-0.2532252192598202,-0.25152205782241405,0.4,-2.2148314811828585e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volume_Ratio,-0.0007838922291472701,0.1764587373502811,0.22089942418724828,0.4946984758117959,3018,-0.003548638610004501,0.07201785246752272,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0007838922291472708,-0.015533063427800269,-0.014749171198652999,-0.003549226668438227,-0.09179876311493712,-0.0882495364464989,0.4666666666666667,-1.9430004917391655e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volume_Ratio_Z,-0.0009607343151825868,0.17644232518519234,0.22087554170955795,0.4946984758117959,3018,-0.004349663631368694,0.07152423607996182,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0009607343151825871,-0.015533063427800269,-0.014572329112617681,-0.004350384430712722,-0.09179876311493712,-0.08744837868422439,0.4666666666666667,-2.2882313006187034e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Momentum_Vol,-0.0018195369837455397,0.18708013731570214,0.23315012186702866,0.5081098973849718,3021,-0.0078041433621000795,0.07137834466346707,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0018195369837455395,0.0568927125506073,0.05871224953435284,-0.007805435331867829,0.36182964380127597,0.3696350791331438,0.6166666666666667,1.7250738002898426e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Momentum_Vol_Z,-0.001832618505215709,0.18706705579423197,0.23314748389836756,0.5081098973849718,3021,-0.007860340016168626,0.07134351204728831,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0018326185052157102,0.0568927125506073,0.05872533105582301,-0.007861641289248062,0.36182964380127597,0.369691285090524,0.6166666666666667,1.722541550648394e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Gap,-0.0012864122156791464,0.1822002590332275,0.22605993089876245,0.4953611663353214,3018,-0.005690580391111711,0.07078843207048302,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0012864122156791475,0.037149122807017536,0.038435535022696685,-0.005691523398884523,0.24194685296816087,0.2476383763670454,0.55,-1.933715082931144e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Gap_Z,-0.0013371750118059632,0.18212082906067462,0.22598976281788868,0.49486924859318104,3021,-0.005916971588516331,0.07057490041175138,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0013371750118059635,0.039261133603238865,0.04059830861504483,-0.005917951138487835,0.25375712515582083,0.25967507629430864,0.55,-1.8008916551098709e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volume_Change_Z,-0.0017671657506456012,0.17348261757460978,0.21668437573214525,0.4988391376451078,3015,-0.008155482999266191,0.06981020527197608,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.001767165750645602,0.015094466936572204,0.016861632687217805,-0.008156835820534789,0.09191406053777815,0.10007089635831294,0.5666666666666667,-1.3819177679656654e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volume_Change,-0.0018221763070329596,0.1734728858723409,0.21667836636380333,0.4981757877280265,3015,-0.008409590349061117,0.06955444057511047,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0018221763070329596,0.015094466936572204,0.016916643243605162,-0.008410985321337484,0.09191406053777815,0.10032504585911563,0.5666666666666667,-1.0561500095459047e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_Lag3,-0.001766631165465262,0.18698268196636347,0.2327366524274414,0.4917163684559311,3018,-0.0075906873259910974,0.06905258788945498,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0017666311654652629,0.004300019522167479,0.006066650687632742,-0.00759194520772869,0.022150818988220865,0.029742764195949557,0.5,7.607552819845185e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Range_Position,-0.0025020562658084086,0.18628516456523156,0.23197205864524761,0.502151605428666,3021,-0.010786024272210957,0.06863981058484134,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.002502056265808405,0.07490553306342781,0.07740758932923622,-0.010787809890007416,0.4519866770859418,0.46277448697594925,0.6333333333333333,2.181485691275265e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Range_Position_Z,-0.002507476011990189,0.18628131436015835,0.2319636378641924,0.502151605428666,3021,-0.01080978046502469,0.06862511875493925,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.002507476011990187,0.07490553306342781,0.077413009075418,-0.010811570015640105,0.4519866770859418,0.4627982471015819,0.6333333333333333,2.1804410472514905e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_Lag2,-0.004712523105215115,0.18814073561063274,0.23258030179748207,0.4960238568588469,3018,-0.020261918350491258,0.061845766504492306,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.004712523105215115,0.02398469967844188,0.028697222783656995,-0.020265276030233148,0.12257838781007199,0.14284366384030514,0.5833333333333334,7.528148965031774e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Momentum_Rank,-0.005345875428221428,0.19615577711221094,0.24563274866146936,0.5001655081098973,3021,-0.02176369167217769,0.061451033168320436,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.005345875428221428,0.03318151147098516,0.03852738689920659,-0.02176729463413989,0.18845533481448096,0.21022262944862086,0.5333333333333333,1.897034740690687e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volume_MA,-0.004824240487961656,0.19268461961896066,0.23865116992289298,0.4922211188348229,3021,-0.02021461059380406,0.06126785985224271,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.004824240487961656,-0.05429824561403509,-0.04947400512607343,-0.020217957106617168,-0.3588280051252018,-0.33861004801858463,0.36666666666666664,1.1184550165303946e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
