Feature,Category,Group,Decay_Multiplier,Decay_Score,Historical_IC,Recent_IC,Historical_ICIR,Recent_ICIR
ATR,Unknown,Unknown,1.0,,0.019873913797525233,0.11092105263157893,0.0701361106207999,0.5643585628873846
ATR_Z,Unknown,Unknown,1.0,,0.019871773788590678,0.11092105263157893,0.07012895252236273,0.5643585628873846
Return_Lag5,Unknown,Unknown,1.0,,0.010003288375134936,0.032997814287344364,0.0438030339626566,0.1733367258126836
Price_to_MA50,Unknown,Unknown,1.0,,0.005790445632868232,0.08213562753036438,0.022504973474827297,0.4862509463345836
Reversal,Unknown,Unknown,1.0,,0.00532690296521549,-0.03318151147098516,0.021689798492283953,-0.18845533481448096
MACD_Signal,Unknown,Unknown,1.0,,0.004466057467528568,0.08010458839406208,0.018676768553414172,0.5106636805682168
Regime_Strength,Unknown,Unknown,1.0,,0.003885444603528696,0.0417354705193433,0.017539344378186515,0.22835591668190405
Momentum_ATR,Momentum,Momentum,1.0,,0.004229156803332534,0.029132928475033737,0.01699425789039862,0.16308191544928835
Momentum_ATR_Z,Unknown,Unknown,1.0,,0.004173409117835202,0.029132928475033737,0.016768737257096485,0.16308191544928835
Return_Lag10,Unknown,Unknown,1.0,,0.0026075397520278648,0.010867071524966264,0.011325424292901048,0.05718964032714974
BB_Z50,Unknown,Unknown,1.0,,0.0025823608409361654,0.07908906882591094,0.010742223123108713,0.4560745344939229
MACD,Momentum,Oscillator,1.0,,0.0006847343866462751,0.08924763832658571,0.0028993776900081694,0.6217171349667364
MACD_Z,Unknown,Unknown,1.0,,0.0006847343866462751,0.08924763832658571,0.0028993776900081694,0.6217171349667364
Return_10,Unknown,Unknown,1.0,,0.0004154268432575105,0.042908232118758445,0.0016981835379171553,0.2532252192598202
Return_10_Z,Unknown,Unknown,1.0,,0.00039342791361210645,0.042908232118758445,0.001608269696699166,0.2532252192598202
Reversal_5,Unknown,Unknown,1.0,,0.0003310551682057216,-0.055728744939271255,0.0013899469116371024,-0.2960560780778615
Return_5,Unknown,Unknown,1.0,,-0.0003310551682057216,0.055728744939271255,-0.0013899469116371024,0.2960560780778615
Return_5_Z,Unknown,Unknown,1.0,,-0.000340732596479293,0.055728744939271255,-0.0014306269243323894,0.2960560780778615
RSI,Momentum,Oscillator,1.0,,-0.0008617669960922891,0.08856275303643726,-0.003604732010384199,0.5131029773770169
RSI_Z,Unknown,Unknown,1.0,,-0.0008662697680648779,0.08856275303643726,-0.0036235884621255766,0.5131029773770169
Reversal_10,Unknown,Unknown,1.0,,-0.0004154268432575105,-0.042908232118758445,-0.0016981835379171553,-0.2532252192598202
Volume_Ratio,Unknown,Unknown,1.0,,-0.0007805504564218003,-0.015533063427800269,-0.003534098201966944,-0.09179876311493712
Volume_Ratio_Z,Unknown,Unknown,1.0,,-0.0009573925424571165,-0.015533063427800269,-0.00433525474518894,-0.09179876311493712
