Company,Signal,Signal_Date,Action_Date,Close,Volume,Probability,Confidence,Position,Target,Exit_Date,Stop_Loss,Expected_return(%),Risk,Reward,RR_Ratio,Side,Market_Regime,Regime_Strength
HUDCO,STRONG SELL,2026-05-13,2026-05-13,219.49000549316406,2660815,0.00011191370329904915,0.9997761725934019,-1,215.10217027852562,2026-05-15,222.12437683786905,-1.9991047905710233,2.634371344704988,8.778617662152499,3.3323387291108117,SHORT,BULL,0.8280862878307436
ICICI BANK LTD,BUY,2026-05-13,2026-05-13,1235.5999755859375,19490295,0.9998419106882273,0.9996838213764545,1,1260.296350756107,2026-05-15,1220.7688691759108,1.998735485443662,14.831106410026678,49.41618561744667,3.331928464939512,LONG,SIDEWAYS_VOLATILE,0.6073131053053943
IDEAFORGE TECH,BUY,2026-05-12,2026-05-12,732.5999755859375,1446010,0.9998483887648166,0.9996967775296333,1,747.2430908138422,2026-05-14,723.8065544711624,1.9987872940062663,8.793421114775128,29.299556207949763,3.331986017977378,LONG,BULL_VOLATILE,0.8017691454344397
INDIAN RENEWABLE ENERGY,STRONG BUY,2026-05-12,2026-05-12,124.69000244140625,8466638,0.9998545372164627,0.9997090744329253,1,127.18235168091708,2026-05-14,123.19335965701269,1.9988364670070722,1.4966427843935577,4.986874587462864,3.332040641983594,LONG,SIDEWAYS_VOLATILE,0.0
INFOSYS LTD,STRONG BUY,2026-05-13,2026-05-13,1123.0999755859375,6664111,0.9998547695449371,0.9997095390898743,1,1145.548928327077,2026-05-15,1109.6195137124955,1.9988383250945776,13.480461873441982,44.917474690616245,3.332042708104583,LONG,BEAR_VOLATILE,0.157888876456842
INOX INDIA LTD,BUY,2026-05-12,2026-05-12,1411.4000244140625,189577,0.999849585963678,0.999699171927356,1,1439.611043906945,2026-05-14,1394.458978233603,1.9987968687044828,16.94104618045958,56.44750920158117,3.3319966545724777,LONG,SIDEWAYS_VOLATILE,0.0
ITC LTD,STRONG BUY,2026-05-13,2026-05-13,304.45001220703125,13024778,0.9998548427068175,0.9997096854136349,1,310.5354775131939,2026-05-15,300.79572819775325,1.9988389102196575,3.654284009278001,12.176232762693985,3.3320433574531263,LONG,BULL,0.9084260981998833
JAIN IRRIGATIONS,STRONG SELL,2026-05-13,2026-05-13,32.70000076293945,2648800,0.00011325997438565993,0.9997734800512287,-1,32.046297002222985,2026-05-15,33.09247484411971,-1.9990940228274894,0.3924740811802536,1.3078518864676276,3.3323267595208073,SHORT,BULL,0.7686638250179866
MULTI COMMODITY EXCHANGE,STRONG BUY,2026-05-13,2026-05-13,3204.199951171875,4279384,0.9998537754201358,0.9997075508402715,1,3268.2464730528604,2026-05-15,3165.7401811019795,1.998830374414108,38.45977006989551,128.14925673520838,3.3320338758911494,LONG,BULL,0.9045650600069511
MUTHOOT FINANCE,SELL,2026-05-13,2026-05-13,3506.39990234375,1385569,0.0001162352844427672,0.9997675294311145,-1,3436.3045058981797,2026-05-15,3548.4848525196753,-1.9990702258095885,42.084950175925314,140.23969339814903,3.332300330844655,SHORT,SIDEWAYS,0.5446274483604128
PC JEWELLER,STRONG SELL,2026-05-13,2026-05-13,8.489999771118164,51276070,0.00011100624586207752,0.9997779875082758,-1,-361.4818477029109,2026-05-15,230.61279456334765,-4357.7368368444895,222.12279479222948,740.1901830264612,3.3323467936529987,SHORT,BULL,0.617656592987371
POWER FINANCE,SELL,2026-05-13,2026-05-13,446.0,12771382,0.00011522207658631878,0.9997695558468274,-1,-20907.550517890093,2026-05-15,13266.498848341651,-4787.791595939482,12820.498848341651,42721.867975565256,3.3323093337423493,SHORT,BULL,0.7230202046706288
SHAKTI PUMPS,SELL,2026-05-13,2026-05-13,530.7000122070312,760848,0.00011720377976320862,0.9997655924404736,-1,-24890.04592729495,2026-05-15,15793.281473730069,-4790.040579381992,15262.581461523037,50859.373912857714,3.3322917254247484,SHORT,BULL,0.8093493068794066
STATE BANK OF INDIA,STRONG SELL,2026-05-12,2026-05-12,957.3438110351562,25787092,0.00011408352114461451,0.9997718329577108,-1,-44857.06793105876,2026-05-14,28463.768212711646,-4785.575590921273,27506.42440167649,91660.19304380343,3.332319450368602,SHORT,BEAR_VOLATILE,0.09891259646344919
SUN PHARMA,STRONG BUY,2026-05-13,2026-05-13,1824.800048828125,1972365,0.9998541302006538,0.9997082604013077,1,89086.34137236227,2026-05-15,-50575.42354933621,4781.978243565532,52400.22359816433,174599.48530706178,3.3320370280476244,LONG,BULL_VOLATILE,0.6237167238387328
SUZLON ENERGY LTD,STRONG BUY,2026-05-12,2026-05-12,51.52000045776367,99265010,0.999853712998219,0.999707425996438,1,2515.9141197032513,2026-05-14,-1428.3427920046804,4783.373636158658,1479.862792462444,4930.95213556523,3.3320333213844453,LONG,BULL_VOLATILE,0.7955757816764464
TATA CONSULTANCY,STRONG BUY,2026-05-13,2026-05-13,2272.800048828125,3171843,0.9998534776543799,0.9997069553087599,1,115679.81415604404,2026-05-15,-65827.93234525007,4989.748841552935,68100.7323940782,226913.76715440297,3.3320312304619395,LONG,BEAR,0.23468573018613603
TORRENT PHARMA,STRONG BUY,2026-05-13,2026-05-13,4295.7998046875,316867,0.9998540818391572,0.9997081636783145,1,219565.813845787,2026-05-15,-124973.06011205184,5011.174259242731,129268.85991673934,430728.572273006,3.332036598376672,LONG,BEAR,0.21815269049762062
UNITED BREWERIES LTD,STRONG SELL,2026-05-13,2026-05-13,1381.199951171875,494802,0.00011287192298764515,0.9997742561540247,-1,-67833.7163742979,2026-05-15,42936.7218561503,-5011.216244740277,41555.52190497843,138476.72128799953,3.3323302160574344,SHORT,BULL,0.6374472284640869
YES BANK LTD,STRONG SELL,2026-05-13,2026-05-13,22.110000610351562,112430701,0.00011225848478729761,0.9997754830304254,-1,-1089.493486996537,2026-05-15,689.4965256564313,-5027.604961197752,667.3865250460798,2223.9559209501695,3.3323356667911206,SHORT,BULL_VOLATILE,0.8320613052132916
