Feature,Num_Observations,IC_Volatility,Positive_IC_Pct,IC_FlipRate,Rolling_IC_Volatility,Rolling_ICIR_Volatility
Range_Position,3021,0.2319309272184996,0.502151605428666,0.2539735099337748,0.058257910526224095,0.2656487188125512
Range_Position_Z,3021,0.2319225077068356,0.502151605428666,0.2539735099337748,0.058250293273684674,0.2656358604749792
Regime_Score,2723,0.23506499423382685,0.4730077120822622,0.23218221895664953,0.06799412521456517,0.31781627431794895
Regime_Strength,2624,0.2215273559952238,0.5041920731707317,0.2344643537933664,0.06644387800094786,0.3221522582475144
Return,3018,0.2337874396569462,0.4777998674618953,0.48889625455750746,0.033193263064097075,0.1462893457195284
Return_10,3021,0.24463011935026382,0.5087719298245614,0.27086092715231785,0.06516336153396955,0.29044516766797124
Return_10_Z,3021,0.244628070037826,0.5084409136047666,0.27086092715231785,0.06514287234182249,0.29027380530147107
Return_5,3021,0.23817828151857431,0.4998344918901026,0.2993377483443709,0.051987688887599276,0.22713121658879384
Return_5_Z,3021,0.2381701261547772,0.4998344918901026,0.2993377483443709,0.05197904787632579,0.22709142846950947
Return_Lag1,3018,0.2337874396569462,0.4777998674618953,0.48889625455750746,0.033193263064097075,0.1462893457195284
Return_Lag10,3018,0.23023770882799394,0.5129224652087475,0.4792840570102751,0.031553099576884264,0.14107129776291089
Return_Lag2,3018,0.23254588981266974,0.4960238568588469,0.5011600928074246,0.03437834139804367,0.1536169460528514
Return_Lag3,3018,0.23270321982994566,0.4917163684559311,0.4955253563142194,0.03371106552505314,0.14685107112683934
Return_Lag5,3018,0.2283697594979381,0.5165672630881378,0.4895591647331787,0.027150221607319867,0.12146919068865762
Return_Rank,3018,0.23374511764818523,0.4777998674618953,0.48889625455750746,0.033175313883030536,0.14620982668418708
Return_Z,3018,0.2337549778262517,0.4777998674618953,0.48889625455750746,0.03318053241830387,0.1462345378601197
Reversal,3021,0.24559485628327588,0.4991724594505131,0.2556291390728477,0.06545299440742954,0.2831748675631416
Reversal_10,3021,0.24463011935026382,0.4885799404170804,0.27086092715231785,0.06516336153396955,0.29044516766797124
Reversal_5,3021,0.23817828151857431,0.4998344918901026,0.2993377483443709,0.051987688887599276,0.22713121658879384
SMA_L,2822,0.30224921249354486,0.5287030474840538,0.19957461892945763,0.09482108712181432,0.33393377471534386
SMA_S,3002,0.3024876113624048,0.533977348434377,0.20393202265911362,0.09547065963491722,0.33762749574007217
Trend,2822,0.268669742424107,0.5602409638554217,0.21375398794753633,0.07307851012827288,0.2913864393752727
Trend_Strength,3021,0.2694186454226897,0.5584243627937769,0.2099337748344371,0.0789002114013066,0.30665954993017097
Trend_Strength_Z,3021,0.2694187417905949,0.5580933465739821,0.21059602649006623,0.07889961444147929,0.3066532565757563
Trend_Z,2723,0.23623947747927657,0.48916636063165625,0.22630418809698752,0.06979938780641769,0.323074569118158
Value_Rank,3021,0.2374165263285526,0.5312810327706058,0.22483443708609271,0.0704312457353172,0.34650903447316034
Value_Score,3021,0.22999536766595077,0.5418735518040384,0.23774834437086093,0.06370433564842146,0.3149481953733885
Vol_Regime,3021,0.25360285106502867,0.4574644157563721,0.2721854304635762,0.06302820710945037,0.2634286528585457
Vol_Z,2902,0.22161239052564818,0.47829083390764987,0.24577731816614962,0.047633552643336616,0.22866367021688336
Volatility,3001,0.2793486736875461,0.46017994001999335,0.22366666666666668,0.07811834642781071,0.2823589698097532
Volatility_Rank,3021,0.2692682845435798,0.4644157563720622,0.2271523178807947,0.07164536526199547,0.27592214268422904
Volatility_Z,3021,0.26926766042993255,0.4644157563720622,0.2271523178807947,0.07164693132839307,0.2759307194446305
Volume_Change,3015,0.2166410473191186,0.4981757877280265,0.5703384207033843,0.01888630304406531,0.08835145546234023
Volume_Change_Z,3015,0.21664705493735067,0.4988391376451078,0.56635700066357,0.019524721045761414,0.09127028693602827
Volume_MA,3021,0.23861618356033307,0.4922211188348229,0.2142384105960265,0.07017722453192858,0.32404457505887696
Volume_Ratio,3018,0.22086269488869256,0.4946984758117959,0.38780245276764996,0.04606666036069671,0.21285751886980822
Volume_Ratio_Z,3018,0.2208388190300306,0.4946984758117959,0.38780245276764996,0.04609797466139531,0.21307981452788574
