Date,Feature,IC,PValue,N_Stocks,Rolling_IC,Rolling_ICIR
2021-06-01,Trend_Strength,-0.1398046398046398,0.4867424687076134,27,-0.04523809523809523,-0.2338080855372169
2021-06-02,Trend_Strength,-0.23382173382173382,0.2404582899713609,27,-0.045522995522995525,-0.23495367241883436
2021-06-03,Trend_Strength,-0.35958485958485964,0.06544373960934474,27,-0.049491249491249494,-0.2502937573548424
2021-06-04,Trend_Strength,-0.29853479853479853,0.13039037358829828,27,-0.05280830280830281,-0.26372576396564146
2021-06-07,Trend_Strength,-0.04212454212454213,0.8347445487300413,27,-0.055830280830280826,-0.281041949996714
2021-06-08,Trend_Strength,0.10012210012210011,0.6192709894236109,27,-0.05353072853072852,-0.26810637710124596
2021-06-09,Trend_Strength,0.030525030525030524,0.8798635076662329,27,-0.05325600325600325,-0.2665890775441348
2021-06-10,Trend_Strength,-0.03174603174603174,0.8750943711561907,27,-0.05146520146520146,-0.2580148154294929
2021-06-11,Trend_Strength,0.14774114774114774,0.4620898129151345,27,-0.04421041921041921,-0.2225562601640795
2021-06-14,Trend_Strength,0.10134310134310134,0.6149820818378641,27,-0.038624338624338624,-0.19513433148623746
2021-06-15,Trend_Strength,-0.14652014652014653,0.46583937920746443,27,-0.04031339031339031,-0.20316603972950628
2021-06-16,Trend_Strength,0.05006105006105006,0.8041565865396063,27,-0.03476800976800976,-0.1772298634367651
2021-06-17,Trend_Strength,-0.09218559218559218,0.6474409189284991,27,-0.03290598290598291,-0.1686888181412279
2021-06-18,Trend_Strength,0.017704517704517704,0.9301557353857285,27,-0.029985754985754984,-0.15418203996415078
2021-06-21,Trend_Strength,0.033577533577533576,0.8679486929894169,27,-0.02515262515262515,-0.13076344808318202
2021-06-22,Trend_Strength,0.047619047619047616,0.8135405090890553,27,-0.01875254375254375,-0.09966070914054372
2021-06-23,Trend_Strength,0.14590964590964592,0.46772009183856045,27,-0.011487586487586484,-0.0617892712348037
2021-06-24,Trend_Strength,0.3321123321123321,0.09055587324566128,27,-0.0027777777777777744,-0.014651272892543482
2021-06-25,Trend_Strength,0.3162393162393162,0.10804879186592134,27,0.0032661782661782693,0.01684379779203323
2021-06-28,Trend_Strength,0.24542124542124538,0.21724737458064958,27,0.00451770451770452,0.023138748726183652
2021-06-29,Trend_Strength,0.18681318681318682,0.3508059748767256,27,0.003449328449328452,0.017775950267234417
2021-06-30,Trend_Strength,0.12515262515262515,0.5339461707880506,27,0.0038054538054538077,0.019590351070470517
2021-07-01,Trend_Strength,0.14041514041514042,0.484822759456197,27,0.007753357753357755,0.039845415666844936
2021-07-02,Trend_Strength,-0.10683760683760683,0.5958360563688367,27,0.0064916564916564935,0.03327567364594396
2021-07-05,Trend_Strength,-0.10927960927960927,0.5874094722042709,27,0.008109483109483112,0.04186843389487803
2021-07-06,Trend_Strength,0.2039072039072039,0.30764961530431323,27,0.016422466422466423,0.08591288583594633
2021-07-07,Trend_Strength,0.17216117216117213,0.39051522503286706,27,0.02426739926739927,0.1293337715742079
2021-07-08,Trend_Strength,0.0231990231990232,0.9085586589292384,27,0.024257224257224257,0.12927951477510066
2021-07-09,Trend_Strength,0.033577533577533576,0.8679486929894169,27,0.023351648351648355,0.12457365530508258
2021-07-12,Trend_Strength,-0.022588522588522588,0.9109554813452002,27,0.023433048433048432,0.1250221617493496
2021-07-13,Trend_Strength,-0.08974358974358974,0.6562071728031647,27,0.02261904761904762,0.12042877775747254
2021-07-14,Trend_Strength,-0.1043956043956044,0.6043139444150958,27,0.01845746845746846,0.09827059658342571
2021-07-15,Trend_Strength,-0.1581196581196581,0.4308660225461225,27,0.012728937728937732,0.06775018476359408
2021-07-16,Trend_Strength,-0.20695970695970692,0.3003066832164705,27,0.006247456247456249,0.03311650256258108
2021-07-19,Trend_Strength,-0.05982905982905983,0.766897139056162,27,0.0020248270248270266,0.010815351087095694
2021-07-20,Trend_Strength,-0.10256410256410256,0.6107054894969162,27,-0.003988603988603987,-0.021603778787268484
2021-07-22,Trend_Strength,0.006715506715506716,0.97348009342336,27,-0.007142857142857142,-0.03908360520540805
2021-07-23,Trend_Strength,0.33821733821733824,0.08443031991269115,27,-0.0034595034595034583,-0.018453296148170432
2021-07-26,Trend_Strength,0.21428571428571427,0.28313512740505625,27,0.0033679283679283693,0.01793117596149821
2021-07-27,Trend_Strength,0.2869352869352869,0.14674427529643375,27,0.013400488400488401,0.0718127628224858
2021-07-28,Trend_Strength,0.2600732600732601,0.19015711309566985,27,0.02386039886039886,0.13079063227976528
2021-07-29,Trend_Strength,-0.004273504273504274,0.9831219598256273,27,0.030748880748880752,0.17769559219842285
