Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Days,Test_Days,Train_Samples,Test_Samples,Sharpe,CAGR,Max_Drawdown,Volatility,Accuracy,Final_Return,Win_Rate,Active_Days,Avg_Turnover,Median_Turnover,Turnover95,Max_Turnover,Avg_Holdings,Deadband_Pct
17,2021-03-15,2023-03-23,2023-03-24,2023-06-27,504,63,8720,999,4.709483310570649,1.5558175173513114,-0.06404990725049081,0.20392727344068942,0.4964964964964965,1.2643940999098469,0.6190476190476191,60,0.3914194230004315,0.29106964147498626,1.0875419752975342,1.5191256718543402,4.0476190476190474,0.6254416961130742
18,2021-06-17,2023-06-27,2023-06-28,2023-09-27,504,63,8674,1008,5.845271130024717,4.0141421328630225,-0.04561282786275242,0.2833708884806845,0.5238095238095238,1.49640503261391,0.6031746031746031,61,0.22236052131227926,0.0,0.9700799224183685,1.7096774113481792,4.126984126984127,0.7342657342657343
19,2021-09-17,2023-09-27,2023-09-28,2024-01-01,504,63,8643,1036,7.560553145926517,5.552408261485464,-0.04727127950531617,0.2537001357611962,0.4980694980694981,1.5880367589335875,0.6129032258064516,59,0.2749300054247829,0.18940440058140123,0.9006558076681356,0.9999999992192441,4.048387096774194,0.6942446043165468
20,2021-12-20,2024-01-01,2024-01-02,2024-04-04,504,63,8581,1139,3.406318435389689,1.695492088998333,-0.09315963925455378,0.30505915261072997,0.4986830553116769,1.281325636147968,0.5555555555555556,62,0.31251003243630454,0.19559922193306095,0.9999999983177028,1.8850213221598113,4.095238095238095,0.7038327526132404
21,2022-03-22,2024-04-04,2024-04-05,2024-07-09,504,63,8618,1056,4.58106973202582,4.523805677324392,-0.10664779468407334,0.3907616846720006,0.47821969696969696,1.5330615732147854,0.6666666666666666,62,0.3099699336690591,0.2326476000531896,0.8748024514964748,1.8177628033910214,4.111111111111111,0.6896551724137931
22,2022-06-22,2024-07-09,2024-07-10,2024-10-09,504,63,8481,1162,2.2951498948164515,0.7788961503733669,-0.09057814106822236,0.2662849677515058,0.459552495697074,1.1548820966313034,0.47619047619047616,62,0.24472516984244835,0.16383893481657036,0.9944499613002739,1.4406676316333125,4.333333333333333,0.7251655629139073
23,2022-09-22,2024-10-09,2024-10-10,2025-01-09,504,63,8587,1215,2.189147082108513,0.913384203842283,-0.12933772357244858,0.3194130290828135,0.4872427983539095,1.1761170503935727,0.4444444444444444,60,0.27382031902424786,0.1933716365153217,0.7970460377680046,0.9999999972789069,4.0476190476190474,0.6950354609929078
24,2022-12-23,2025-01-09,2025-01-10,2025-04-11,504,63,8754,1289,1.214070271378203,0.43058647987796306,-0.15239302939770372,0.34146590156572676,0.5081458494957332,1.0920974915490949,0.43548387096774194,59,0.29818664367450587,0.18569726797686215,0.9999999981129717,1.6809439244381257,4.354838709677419,0.7138047138047138
25,2023-03-24,2025-04-11,2025-04-15,2025-07-14,504,63,8904,965,5.168770989787549,2.7212502205174167,-0.07923094082889387,0.2612869442381961,0.5243523316062176,1.3889039669980487,0.5396825396825397,61,0.29710292623037476,0.0,0.9999999968401959,1.3474886992994985,3.8253968253968256,0.6877323420074349
26,2023-06-28,2025-07-14,2025-07-15,2025-10-14,504,63,8870,1159,0.13980123038310163,0.008881831927170403,-0.12822540532973759,0.1898365786568511,0.5150992234685073,1.0022131004162638,0.49206349206349204,61,0.27635587848929427,0.15330948630784846,0.999999996840909,1.3461869457657796,4.079365079365079,0.6912280701754386
27,2023-09-28,2025-10-14,2025-10-15,2026-01-14,504,63,9021,1188,0.5727151902123536,0.12886988824142964,-0.07441071980181511,0.2737953343033139,0.5134680134680135,1.0307681060483058,0.38095238095238093,60,0.23875616891394297,0.15489964568762207,0.8748835551313255,1.2084433824729057,4.190476190476191,0.7235494880546075
28,2024-01-02,2026-01-14,2026-01-15,2026-04-21,504,63,9173,1387,1.3692256783030472,0.5002678964205762,-0.15764406895636884,0.3374218032997057,0.501802451333814,1.1049512598481142,0.5483870967741935,60,0.27050343793639314,0.1795235288760011,0.9999999974389888,1.0230215795767224,4.467741935483871,0.7207792207792207
