YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2023,COALINDIA,Coal India,138252,44232,94020,,6560,684,6833,43275,,31723,51.54,,,
01-03-2024,COALINDIA,Coal India,144762,47971,96791,,8396,819,6735,48813,,37369,60.69,,,
01-03-2025,COALINDIA,Coal India,143369,47064,96305,,9932,884,9145,46966,,35302,57.37,,,
01-03-2026,COALINDIA,Coal India,168400,41242,127158,,12034,1216,10137,41923,,31071,50.46,,,
01-03-2020,CPPLUS,Aditya Infotech Ltd,1238,57,1181,,5,37,5,21,,17,69.72,,,
01-03-2021,CPPLUS,Aditya Infotech Ltd,1149,56,1093,,12,26,6,35,,29,117.32,,,
01-03-2022,CPPLUS,Aditya Infotech Ltd,1646,133,1513,,24,20,8,129,,97,387.72,,,
01-03-2023,CPPLUS,Aditya Infotech Ltd,2285,161,2124,,15,23,9,143,,108,528.34,,,
01-03-2024,CPPLUS,Aditya Infotech Ltd,2782,223,2559,,-12,31,16,165,,115,561.8,,,
01-03-2025,CPPLUS,Aditya Infotech Ltd,3112,248,2864,,259,42,31,434,,351,32,,,
01-03-2026,CPPLUS,Aditya Infotech Ltd,3776,407,3369,,12,35,45,339,,254,22.14,,,
01-03-2021,CUPID,Cupid Ltd,149,41,108,,0,0,3,38,,29,0.22,,,
01-03-2024,CUPID,Cupid Ltd,172,51,121,,7,2,3,53,,40,0.3,,,
01-03-2025,CUPID,Cupid Ltd,183,42,141,,19,2,4,55,,41,0.3,,,
01-03-2026,CUPID,Cupid Ltd,294,93,202,,26,3,5,111,,83,0.62,,,
01-03-2021,EPACK,Epack Durable Ltd,736,42,694,,3,26,9,11,,8,1.62,,,
01-03-2022,EPACK,Epack Durable Ltd,924,69,855,,3,29,16,26,,17,3.35,,,
01-03-2023,EPACK,Epack Durable Ltd,1539,102,1437,,0,31,26,44,,32,6.14,,,
01-03-2024,EPACK,Epack Durable Ltd,1420,115,1305,,9,39,35,49,,35,3.69,,,
01-03-2025,EPACK,Epack Durable Ltd,2171,155,2016,,21,54,47,74,,55,5.75,,,
01-03-2026,EPACK,Epack Durable Ltd,1947,154,1793,,20,63,52,58,,41,4.28,,,
01-03-2015,HAL,Hindustan Aeronautics,15939,2379,13560,,1650,15,822,3191,,2399,24.89,,,
01-03-2016,HAL,Hindustan Aeronautics,16758,2474,14285,,1608,6,863,3213,,2004,27.72,,,
01-03-2017,HAL,Hindustan Aeronautics,17950,3231,14719,,1058,16,681,3592,,2625,36.3,,,
01-03-2018,HAL,Hindustan Aeronautics,18520,3449,15071,,776,35,947,3243,,1990,29.76,,,
01-03-2019,HAL,Hindustan Aeronautics,20008,4551,15457,,376,178,1025,3725,,2328,34.82,,,
01-03-2020,HAL,Hindustan Aeronautics,21445,4914,16531,,423,360,999,3979,,2883,43.1,,,
01-03-2021,HAL,Hindustan Aeronautics,22882,5344,17538,,364,267,1158,4283,,3246,48.53,,,
01-03-2022,HAL,Hindustan Aeronautics,24620,5415,19205,,985,65,1111,5225,,5080,75.96,,,
01-03-2023,HAL,Hindustan Aeronautics,26927,6686,20242,,1673,64,1785,6510,,5828,87.14,,,
01-03-2024,HAL,Hindustan Aeronautics,30381,9752,20630,,1923,43,1407,10225,,7621,113.96,,,
01-03-2025,HAL,Hindustan Aeronautics,30981,9621,21360,,2608,22,1340,10867,,8364,125.07,,,
01-03-2026,HAL,Hindustan Aeronautics,32846,10006,22840,,3248,10,1457,11787,,8896,133.02,,,
01-03-2018,HDBFS,HDB Financial Services,7027,1482,3096,,0,2449,45,1436,,933,11.92,,,
01-03-2019,HDBFS,HDB Financial Services,8725,1786,3605,,0,3333,62,1724,,1153,14.68,,,
01-03-2023,HDBFS,HDB Financial Services,12403,2738,6153,,1,3512,112,2627,,1959,24.76,,,
01-03-2024,HDBFS,HDB Financial Services,14173,3449,5817,,1,4907,145,3305,,2461,31.03,,,
01-03-2025,HDBFS,HDB Financial Services,16300,3122,6745,,0,6433,194,2928,,2176,27.34,,,
01-03-2014,HUDCO,HUDCO,2978,1084,192,,25,1702,4,1105,,734,366.64,,,
01-03-2015,HUDCO,HUDCO,3383,1131,477,,44,1775,5,1170,,768,383.8,,,
01-03-2016,HUDCO,HUDCO,3270,1044,319,,37,1908,5,1076,,783,3.91,,,
01-03-2017,HUDCO,HUDCO,3536,1082,468,,98,1986,5,1175,,842,4.21,,,
01-03-2018,HUDCO,HUDCO,4228,1408,526,,6,2295,5,1408,,1010,5.04,,,
01-03-2019,HUDCO,HUDCO,5584,1861,652,,7,3071,5,1863,,1180,5.89,,,
01-03-2020,HUDCO,HUDCO,7567,2176,544,,4,4848,6,2174,,1708,8.53,,,
01-03-2021,HUDCO,HUDCO,7267,2225,277,,11,4765,7,2229,,1578,7.89,,,
01-03-2022,HUDCO,HUDCO,6986,2342,111,,11,4533,8,2346,,1716,8.57,,,
01-03-2023,HUDCO,HUDCO,7082,2296,279,,4,4507,11,2289,,1701,8.5,,,
01-03-2024,HUDCO,HUDCO,7831,2736,134,,117,4961,10,2843,,2117,10.57,,,
01-03-2025,HUDCO,HUDCO,10345,3644,-46,,4,6747,11,3637,,2709,13.53,,,
01-03-2026,HUDCO,HUDCO,12433,3509,547,,124,8377,12,3621,,2781,13.9,,,
01-03-2024,ICICIAMC,ICICI Prudential Asset,3758,2777,981,,3,16,66,2698,,2050,1161.18,,,
01-03-2025,ICICIAMC,ICICI Prudential Asset,4977,3635,1343,,2,19,85,3533,,2651,1501.61,,,
01-03-2015,ICICIBANK,ICICI Bank Ltd,54964,-16120,38766,,35252,32318,798,18334,,12942,19.2,,,
01-03-2016,ICICIBANK,ICICI Bank Ltd,59294,-26955,52252,,42102,33996,843,14304,,10927,15.92,,,
01-03-2017,ICICIBANK,ICICI Bank Ltd,60940,-37737,63841,,52458,34836,912,13809,,11340,15.9,,,
01-03-2018,ICICIBANK,ICICI Bank Ltd,62162,-44906,72806,,56807,34262,922,10978,,9100,12,,,
01-03-2019,ICICIBANK,ICICI Bank Ltd,71982,-50971,83775,,59325,39178,946,7408,,5689,6.6,,,
