YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2020,ICICIBANK,ICICI Bank Ltd,84836,-45190,85361,,64950,44666,1171,18589,,11225,14.78,,,
01-03-2021,ICICIBANK,ICICI Bank Ltd,89163,-44805,91309,,72174,42659,1340,26028,,20364,26.58,,,
01-03-2022,ICICIBANK,ICICI Bank Ltd,95407,-26558,80798,,62129,41167,1330,34241,,26538,36.14,,,
01-03-2023,ICICIBANK,ICICI Bank Ltd,121067,-17341,87864,,65112,50543,1515,46256,,35461,48.74,,,
01-03-2024,ICICIBANK,ICICI Bank Ltd,159516,-14152,99560,,76522,74108,1935,60434,,46081,63.02,,,
01-03-2025,ICICIBANK,ICICI Bank Ltd,186331,-32775,130078,,108255,89028,2627,72854,,54569,71.65,,,
01-03-2026,ICICIBANK,ICICI Bank Ltd,195218,-39843,146032,,116900,89029,0,77057,,57936,75.71,,,
01-03-2020,IDEAFORGE,Ideaforge Tech,14,-12,26,,2,1,3,-13,,-13,-1499.44,,,
01-03-2021,IDEAFORGE,Ideaforge Tech,35,-11,45,,2,2,4,-14,,-15,-1625.56,,,
01-03-2022,IDEAFORGE,Ideaforge Tech,159,75,85,,2,19,7,50,,44,4862.98,,,
01-03-2023,IDEAFORGE,Ideaforge Tech,186,48,138,,10,6,12,41,,32,14.99,,,
01-03-2024,IDEAFORGE,Ideaforge Tech,314,57,257,,30,5,21,61,,45,10.56,,,
01-03-2025,IDEAFORGE,Ideaforge Tech,161,-52,213,,21,2,29,-62,,-62,-14.46,,,
01-03-2026,IDEAFORGE,Ideaforge Tech,105,-79,184,,14,3,39,-106,,-103,-23.79,,,
01-03-2015,INFY,Infosys Ltd,53319,14883,38436,,3430,12,1017,17284,,12372,26.93,,,
01-03-2016,INFY,Infosys Ltd,62441,17079,45362,,3120,0,1459,18740,,13489,29.36,,,
01-03-2017,INFY,Infosys Ltd,68484,18604,49880,,3050,0,1703,19951,,14353,31.24,,,
01-03-2018,INFY,Infosys Ltd,70522,18822,51700,,3311,0,1863,20270,,16029,36.69,,,
01-03-2019,INFY,Infosys Ltd,82675,20170,62505,,2882,0,2011,21041,,15410,35.26,,,
01-03-2020,INFY,Infosys Ltd,90791,22267,68524,,2803,170,2893,22007,,16639,38.96,,,
01-03-2021,INFY,Infosys Ltd,100472,27889,72583,,2201,195,3267,26628,,19423,45.42,,,
01-03-2022,INFY,Infosys Ltd,121641,31491,90150,,2295,200,3476,30110,,22146,52.56,,,
01-03-2023,INFY,Infosys Ltd,146767,35130,111637,,2701,284,4225,33322,,24108,58.08,,,
01-03-2024,INFY,Infosys Ltd,153670,36425,117245,,4711,470,4678,35988,,26248,63.2,,,
01-03-2025,INFY,Infosys Ltd,162990,39236,123754,,3600,416,4812,37608,,26750,64.32,,,
01-03-2026,INFY,Infosys Ltd,178650,42280,136370,,3033,416,4902,39995,,29474,72.59,,,
