Date,Feature,IC,PValue,N_Stocks
2015-01-12,Return_5_Z,0.18796992481203004,0.42742125802266395,20
2015-01-12,Return_10_Z,0.18796992481203004,0.42742125802266395,20
2015-01-12,Return_Rank,-0.5187969924812029,0.019088394384192502,20
2015-01-12,Volatility_Rank,0.037593984962406006,0.8749652018566715,20
2015-01-13,RSI,-0.2706766917293233,0.2483905691366973,20
2015-01-13,Volatility,-0.11578947368421053,0.6268789936728246,20
2015-01-13,Trend_Strength,-0.17142857142857143,0.46988617281087525,20
2015-01-13,Return_5,-0.4030075187969925,0.07809346645156456,20
2015-01-13,Return_10,-0.42105263157894735,0.06448807512897045,20
2015-01-13,Volume_Change,-0.11278195488721804,0.6359170579042353,20
2015-01-13,Range_Position,-0.3609022556390977,0.1179803715643576,20
2015-01-13,Volatility_Z,-0.11578947368421053,0.6268789936728246,20
2015-01-13,Return_5_Z,-0.4030075187969925,0.07809346645156456,20
2015-01-13,Return_10_Z,-0.42105263157894735,0.06448807512897045,20
2015-01-13,Return_Rank,0.15789473684210525,0.5061465835201626,20
2015-01-13,Volatility_Rank,-0.11578947368421053,0.6268789936728246,20
2015-01-14,RSI,-0.1969924812030075,0.40515233009814555,20
2015-01-14,Volatility,-0.10375939849624059,0.6633257542362446,20
2015-01-14,Trend_Strength,-0.23609022556390977,0.31629397078309723,20
2015-01-14,Return_5,-0.08120300751879699,0.733607630478017,20
2015-01-14,Return_10,-0.21052631578947367,0.3729699095048001,20
2015-01-14,Volume_Change,0.2150375939849624,0.3625738870245509,20
2015-01-14,Range_Position,-0.1969924812030075,0.40515233009814555,20
2015-01-14,Volatility_Z,-0.10375939849624059,0.6633257542362446,20
2015-01-14,Return_5_Z,-0.08120300751879699,0.733607630478017,20
2015-01-14,Return_10_Z,-0.21052631578947367,0.3729699095048001,20
2015-01-14,Return_Rank,-0.2706766917293233,0.2483905691366973,20
2015-01-14,Volatility_Rank,-0.10375939849624059,0.6633257542362446,20
2015-01-15,RSI,0.16541353383458643,0.4858377042773382,20
2015-01-15,Volatility,-0.19248120300751878,0.41620647341979894,20
2015-01-15,Trend_Strength,0.2120300751879699,0.36948599387790193,20
2015-01-15,Return_5,0.156390977443609,0.5102566899029021,20
2015-01-15,Return_10,0.21052631578947367,0.3729699095048001,20
2015-01-15,Volume_Change,-0.2541353383458646,0.2795976355152772,20
2015-01-15,Range_Position,0.18646616541353384,0.4311949104342509,20
2015-01-15,Volatility_Z,-0.19248120300751878,0.41620647341979894,20
2015-01-15,Return_5_Z,0.156390977443609,0.5102566899029021,20
2015-01-15,Return_10_Z,0.21052631578947367,0.3729699095048001,20
2015-01-15,Return_Rank,-0.23458646616541348,0.3194764651496698,20
2015-01-15,Volatility_Rank,-0.19248120300751878,0.41620647341979894,20
2015-01-16,Momentum,0.13834586466165413,0.5607873732874131,20
2015-01-16,RSI,0.2150375939849624,0.3625738870245509,20
2015-01-16,Volatility,-0.38947368421052625,0.08961904769837135,20
2015-01-16,Trend_Strength,0.09473684210526315,0.6911525963694355,20
2015-01-16,Return_5,0.04060150375939849,0.8650468790077723,20
2015-01-16,Return_10,0.07218045112781954,0.7623392575365604,20
2015-01-16,Volume_Change,0.21654135338345865,0.35914578257040025,20
2015-01-16,Range_Position,0.29624060150375936,0.2047182974286216,20
